drug1,pubchem_id1,drug2,pubchem_id2,cell,label
anastrozole,2187,cyclophosphamide,2907,BT549,1
anastrozole,2187,NSC256439,3685,BT549,0
anastrozole,2187,ifosfamide,3690,HS578T,0
anastrozole,2187,methoxsalen,4114,BT549,0
anastrozole,2187,pipobroman,4842,BT549,0
anastrozole,2187,Vorinostat,5311,BT549,0
anastrozole,2187,thalidomide,5426,BT549,0
anastrozole,2187,mitomycin C,5746,HS578T,0
anastrozole,2187,55-86-7,5935,BT549,0
anastrozole,2187,Quinacrine hydrochloride,6239,BT549,0
anastrozole,2187,Procarbazine hydrochloride,9703,BT549,0
anastrozole,2187,Zanosar,29327,HS578T,0
anastrozole,2187,ADM hydrochloride,32874,BT549,0
anastrozole,2187,Co-V,40926,BT549,0
anastrozole,2187,IMIQUIMOD,57469,BT549,0
anastrozole,2187,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
anastrozole,2187,7803-88-5,96312,BT549,0
anastrozole,2187,7-Ethyl-10-hydroxycamptothecin,104842,BT549,0
anastrozole,2187,5-Aminolevulinic acid hydrochloride,123608,BT549,1
anastrozole,2187,methotrexate,126941,HS578T,0
anastrozole,2187,Pralatrexate,148121,BT549,0
anastrozole,2187,docetaxel,148124,BT549,0
anastrozole,2187,Erlotinib hydrochloride,176871,BT549,1
anastrozole,2187,CHEMBL277800,354624,BT549,1
anastrozole,2187,122111-05-1,356653,BT549,0
anastrozole,2187,Bortezomib,387447,BT549,0
anastrozole,2187,158798-73-3,400633,BT549,0
anastrozole,2187,cis-Platin,441203,BT549,0
anastrozole,2187,NSC-127716,451668,BT549,1
anastrozole,2187,Nilotinib,644241,BT549,0
anastrozole,2187,6-Mercaptopurine,667490,BT549,0
anastrozole,2187,Antibiotic AY 22989,5284616,BT549,0
anastrozole,2187,Romidepsin,5352062,BT549,0
anastrozole,2187,Ixabepilone,6445540,BT549,0
anastrozole,2187,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
anastrozole,2187,Emcyt (Pharmacia),54611422,BT549,0
anastrozole,2187,allopurinol,135401907,BT549,1
bepridil,2351,Sertraline hydrochloride,63009,HUH7,1
bepridil,2351,TOREMIFENE CITRATE,3005572,HUH7,0
busulfan,2478,amifostine,2141,BT549,0
busulfan,2478,anastrozole,2187,BT549,0
busulfan,2478,carmustine,2578,BT549,0
busulfan,2478,cyclophosphamide,2907,BT549,0
busulfan,2478,NSC256439,3685,BT549,0
busulfan,2478,ifosfamide,3690,BT549,0
busulfan,2478,methoxsalen,4114,BT549,0
busulfan,2478,thalidomide,5426,BT549,0
busulfan,2478,mitomycin C,5746,BT549,0
busulfan,2478,Quinacrine hydrochloride,6239,BT549,1
busulfan,2478,Procarbazine hydrochloride,9703,BT549,1
busulfan,2478,Zanosar,29327,BT549,0
busulfan,2478,ADM hydrochloride,32874,BT549,0
busulfan,2478,Co-V,40926,BT549,0
busulfan,2478,IMIQUIMOD,57469,BT549,0
busulfan,2478,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
busulfan,2478,Erlotinib hydrochloride,176871,BT549,0
busulfan,2478,Bortezomib,387447,BT549,0
busulfan,2478,cis-Platin,441203,BT549,0
busulfan,2478,NSC-127716,451668,BT549,1
busulfan,2478,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
busulfan,2478,Emcyt (Pharmacia),54611422,BT549,0
busulfan,2478,allopurinol,135401907,BT549,0
carmustine,2578,amifostine,2141,BT549,0
carmustine,2578,NSC256439,3685,BT549,0
carmustine,2578,ADM hydrochloride,32874,BT549,0
carmustine,2578,Erlotinib hydrochloride,176871,BT549,0
carmustine,2578,Bortezomib,387447,BT549,0
carmustine,2578,cis-Platin,441203,BT549,0
carmustine,2578,Ixabepilone,6445540,BT549,0
carmustine,2578,Emcyt (Pharmacia),54611422,BT549,0
celecoxib,2662,CHEMBL17639,1546,BT549,0
celecoxib,2662,"Azacytidine, 5-",1805,BT549,0
celecoxib,2662,amifostine,2141,BT549,0
celecoxib,2662,anastrozole,2187,BT549,0
celecoxib,2662,busulfan,2478,BT549,0
celecoxib,2662,carmustine,2578,BT549,0
celecoxib,2662,cyclophosphamide,2907,BT549,0
celecoxib,2662,Fludarabine Base,3367,BT549,0
celecoxib,2662,hydroxyurea,3657,BT549,0
celecoxib,2662,NSC256439,3685,BT549,0
celecoxib,2662,ifosfamide,3690,BT549,1
celecoxib,2662,methoxsalen,4114,BT549,0
celecoxib,2662,mitotane,4211,BT549,0
celecoxib,2662,pipobroman,4842,BT549,0
celecoxib,2662,Imatinib,5291,BT549,0
celecoxib,2662,Vorinostat,5311,BT549,0
celecoxib,2662,temozolomide,5394,BT549,0
celecoxib,2662,thalidomide,5426,BT549,0
celecoxib,2662,thiotepa,5453,BT549,0
celecoxib,2662,mitomycin C,5746,BT549,0
celecoxib,2662,5-Fluoro-2'-deoxyuridine,5790,BT549,0
celecoxib,2662,Triethylenemelamine,5799,BT549,0
celecoxib,2662,55-86-7,5935,BT549,0
celecoxib,2662,Quinacrine hydrochloride,6239,BT549,0
celecoxib,2662,CYTARABINE HYDROCHLORIDE,6252,BT549,0
celecoxib,2662,Procarbazine hydrochloride,9703,BT549,0
celecoxib,2662,Zanosar,29327,BT549,0
celecoxib,2662,ADM hydrochloride,32874,BT549,0
celecoxib,2662,paclitaxel,36314,BT549,1
celecoxib,2662,Carboplatinum,38904,BT549,0
celecoxib,2662,Co-V,40926,BT549,0
celecoxib,2662,IMIQUIMOD,57469,BT549,0
celecoxib,2662,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
celecoxib,2662,Zoledronic acid,68740,BT549,0
celecoxib,2662,Bendamustine hydrochloride,77082,BT549,0
celecoxib,2662,7803-88-5,96312,BT549,0
celecoxib,2662,Fulvestrant,104741,BT549,0
celecoxib,2662,7-Ethyl-10-hydroxycamptothecin,104842,BT549,0
celecoxib,2662,5-Aminolevulinic acid hydrochloride,123608,BT549,1
celecoxib,2662,Pralatrexate,148121,HS578T,0
celecoxib,2662,docetaxel,148124,BT549,1
celecoxib,2662,MITHRAMYCIN,163659,BT549,0
celecoxib,2662,Erlotinib hydrochloride,176871,BT549,0
celecoxib,2662,Lapatinib,208908,BT549,0
celecoxib,2662,Sorafenib,216239,BT549,0
celecoxib,2662,Vinblastine sulfate,241902,BT549,0
celecoxib,2662,Vincristine sulfate,249332,BT549,0
celecoxib,2662,CHEMBL277800,354624,BT549,0
celecoxib,2662,122111-05-1,356653,BT549,0
celecoxib,2662,Bortezomib,387447,BT549,0
celecoxib,2662,158798-73-3,400633,BT549,0
celecoxib,2662,cis-Platin,441203,HS578T,0
celecoxib,2662,Retinoic acid,444795,BT549,0
celecoxib,2662,NSC-127716,451668,BT549,0
celecoxib,2662,Antibiotic AD 32,454216,BT549,0
celecoxib,2662,Nilotinib,644241,BT549,0
celecoxib,2662,6-Mercaptopurine,667490,BT549,0
celecoxib,2662,Tamoxifen citrate,2733525,BT549,0
celecoxib,2662,Dasatinib,3062316,BT549,0
celecoxib,2662,Antibiotic AY 22989,5284616,BT549,0
celecoxib,2662,Sunitinib,5329102,BT549,0
celecoxib,2662,Romidepsin,5352062,BT549,0
celecoxib,2662,bleomycin,5360373,BT549,0
celecoxib,2662,NSC733504,6442177,BT549,0
celecoxib,2662,Ixabepilone,6445540,BT549,0
celecoxib,2662,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
celecoxib,2662,Emcyt (Pharmacia),54611422,BT549,0
celecoxib,2662,allopurinol,135401907,BT549,0
chlorambucil,2708,CHEMBL17639,1546,BT549,0
chlorambucil,2708,"Azacytidine, 5-",1805,BT549,0
chlorambucil,2708,amifostine,2141,BT549,0
chlorambucil,2708,anastrozole,2187,BT549,0
chlorambucil,2708,busulfan,2478,BT549,0
chlorambucil,2708,carmustine,2578,BT549,0
chlorambucil,2708,celecoxib,2662,BT549,0
chlorambucil,2708,cyclophosphamide,2907,BT549,0
chlorambucil,2708,Fludarabine Base,3367,BT549,0
chlorambucil,2708,hydroxyurea,3657,BT549,0
chlorambucil,2708,NSC256439,3685,BT549,0
chlorambucil,2708,ifosfamide,3690,BT549,0
chlorambucil,2708,letrozole,3902,BT549,0
chlorambucil,2708,methoxsalen,4114,BT549,0
chlorambucil,2708,mitotane,4211,BT549,0
chlorambucil,2708,pipobroman,4842,BT549,1
chlorambucil,2708,Imatinib,5291,BT549,0
chlorambucil,2708,Vorinostat,5311,BT549,0
chlorambucil,2708,temozolomide,5394,BT549,0
chlorambucil,2708,thalidomide,5426,BT549,0
chlorambucil,2708,thiotepa,5453,BT549,0
chlorambucil,2708,mitomycin C,5746,BT549,1
chlorambucil,2708,5-Fluoro-2'-deoxyuridine,5790,BT549,0
chlorambucil,2708,55-86-7,5935,BT549,0
chlorambucil,2708,Quinacrine hydrochloride,6239,BT549,0
chlorambucil,2708,CYTARABINE HYDROCHLORIDE,6252,BT549,0
chlorambucil,2708,Procarbazine hydrochloride,9703,BT549,0
chlorambucil,2708,Zanosar,29327,BT549,0
chlorambucil,2708,ADM hydrochloride,32874,BT549,0
chlorambucil,2708,paclitaxel,36314,BT549,0
chlorambucil,2708,Carboplatinum,38904,BT549,0
chlorambucil,2708,Co-V,40926,BT549,0
chlorambucil,2708,IMIQUIMOD,57469,BT549,0
chlorambucil,2708,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
chlorambucil,2708,Zoledronic acid,68740,BT549,0
chlorambucil,2708,Bendamustine hydrochloride,77082,BT549,0
chlorambucil,2708,7803-88-5,96312,BT549,0
chlorambucil,2708,Fulvestrant,104741,BT549,0
chlorambucil,2708,7-Ethyl-10-hydroxycamptothecin,104842,BT549,0
chlorambucil,2708,5-Aminolevulinic acid hydrochloride,123608,BT549,0
chlorambucil,2708,methotrexate,126941,BT549,0
chlorambucil,2708,Pralatrexate,148121,BT549,0
chlorambucil,2708,docetaxel,148124,BT549,0
chlorambucil,2708,MITHRAMYCIN,163659,BT549,1
chlorambucil,2708,Erlotinib hydrochloride,176871,BT549,1
chlorambucil,2708,Lapatinib,208908,BT549,0
chlorambucil,2708,Sorafenib,216239,BT549,0
chlorambucil,2708,Vinblastine sulfate,241902,BT549,0
chlorambucil,2708,Vincristine sulfate,249332,BT549,0
chlorambucil,2708,CHEMBL277800,354624,BT549,0
chlorambucil,2708,122111-05-1,356653,BT549,0
chlorambucil,2708,Bortezomib,387447,BT549,0
chlorambucil,2708,158798-73-3,400633,BT549,0
chlorambucil,2708,cis-Platin,441203,BT549,0
chlorambucil,2708,Retinoic acid,444795,BT549,0
chlorambucil,2708,NSC-127716,451668,BT549,0
chlorambucil,2708,Antibiotic AD 32,454216,BT549,0
chlorambucil,2708,actinomycin D,457193,BT549,1
chlorambucil,2708,Nilotinib,644241,BT549,0
chlorambucil,2708,6-Mercaptopurine,667490,BT549,0
chlorambucil,2708,6-Thioguanine,2723601,BT549,0
chlorambucil,2708,Tamoxifen citrate,2733525,BT549,0
chlorambucil,2708,Dasatinib,3062316,BT549,1
chlorambucil,2708,Antibiotic AY 22989,5284616,BT549,0
chlorambucil,2708,Sunitinib,5329102,BT549,0
chlorambucil,2708,Romidepsin,5352062,BT549,0
chlorambucil,2708,bleomycin,5360373,BT549,0
chlorambucil,2708,NSC733504,6442177,BT549,1
chlorambucil,2708,Ixabepilone,6445540,BT549,0
chlorambucil,2708,Crizotinib,11626560,BT549,0
chlorambucil,2708,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
chlorambucil,2708,Vemurafenib,42611257,BT549,0
chlorambucil,2708,Emcyt (Pharmacia),54611422,BT549,0
chlorambucil,2708,allopurinol,135401907,BT549,0
chloroquine,2719,957054-30-7,17755052,KPL1,0
chloroquine,2719,MK-2206,24964624,KPL1,1
chloroquine,2719,AZD5363,25227436,KPL1,0
chloroquine,2719,AZD2014,25262792,KPL1,0
cyclophosphamide,2907,amifostine,2141,BT549,1
cyclophosphamide,2907,carmustine,2578,BT549,0
cyclophosphamide,2907,NSC256439,3685,BT549,0
cyclophosphamide,2907,ifosfamide,3690,BT549,1
cyclophosphamide,2907,ADM hydrochloride,32874,BT549,0
cyclophosphamide,2907,Co-V,40926,BT549,0
cyclophosphamide,2907,IMIQUIMOD,57469,BT549,1
cyclophosphamide,2907,TOPOTECAN HYDROCHLORIDE,60699,BT549,0
cyclophosphamide,2907,Erlotinib hydrochloride,176871,BT549,1
cyclophosphamide,2907,Bortezomib,387447,BT549,0
cyclophosphamide,2907,cis-Platin,441203,HS578T,0
cyclophosphamide,2907,NSC-127716,451668,BT549,1
cyclophosphamide,2907,Ixabepilone,6445540,BT549,0
cyclophosphamide,2907,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
cyclophosphamide,2907,Emcyt (Pharmacia),54611422,BT549,0
Fludarabine Base,3367,"Azacytidine, 5-",1805,BT549,0
Fludarabine Base,3367,amifostine,2141,BT549,1
Fludarabine Base,3367,anastrozole,2187,BT549,0
Fludarabine Base,3367,busulfan,2478,BT549,0
Fludarabine Base,3367,carmustine,2578,BT549,1
Fludarabine Base,3367,cyclophosphamide,2907,BT549,0
Fludarabine Base,3367,hydroxyurea,3657,BT549,0
Fludarabine Base,3367,ifosfamide,3690,BT549,0
Fludarabine Base,3367,methoxsalen,4114,BT549,0
Fludarabine Base,3367,mitotane,4211,BT549,0
Fludarabine Base,3367,pipobroman,4842,BT549,1
Fludarabine Base,3367,Imatinib,5291,BT549,0
Fludarabine Base,3367,Vorinostat,5311,BT549,0
Fludarabine Base,3367,temozolomide,5394,BT549,0
Fludarabine Base,3367,thalidomide,5426,BT549,0
Fludarabine Base,3367,mitomycin C,5746,BT549,0
Fludarabine Base,3367,Triethylenemelamine,5799,BT549,0
Fludarabine Base,3367,55-86-7,5935,BT549,0
Fludarabine Base,3367,Quinacrine hydrochloride,6239,BT549,0
Fludarabine Base,3367,Procarbazine hydrochloride,9703,BT549,0
Fludarabine Base,3367,Zanosar,29327,BT549,0
Fludarabine Base,3367,ADM hydrochloride,32874,BT549,0
Fludarabine Base,3367,paclitaxel,36314,BT549,0
Fludarabine Base,3367,Carboplatinum,38904,BT549,0
Fludarabine Base,3367,Co-V,40926,BT549,1
Fludarabine Base,3367,IMIQUIMOD,57469,BT549,0
Fludarabine Base,3367,TOPOTECAN HYDROCHLORIDE,60699,BT549,1
Fludarabine Base,3367,Zoledronic acid,68740,BT549,0
Fludarabine Base,3367,Bendamustine hydrochloride,77082,BT549,0
Fludarabine Base,3367,7803-88-5,96312,BT549,0
Fludarabine Base,3367,Fulvestrant,104741,BT549,0
Fludarabine Base,3367,7-Ethyl-10-hydroxycamptothecin,104842,BT549,0
Fludarabine Base,3367,5-Aminolevulinic acid hydrochloride,123608,BT549,0
Fludarabine Base,3367,Pralatrexate,148121,BT549,0
Fludarabine Base,3367,docetaxel,148124,BT549,0
Fludarabine Base,3367,MITHRAMYCIN,163659,BT549,0
Fludarabine Base,3367,Erlotinib hydrochloride,176871,BT549,0
Fludarabine Base,3367,Lapatinib,208908,BT549,0
Fludarabine Base,3367,Sorafenib,216239,BT549,0
Fludarabine Base,3367,Vinblastine sulfate,241902,BT549,0
Fludarabine Base,3367,CHEMBL277800,354624,BT549,0
Fludarabine Base,3367,122111-05-1,356653,BT549,0
Fludarabine Base,3367,Bortezomib,387447,BT549,0
Fludarabine Base,3367,158798-73-3,400633,BT549,0
Fludarabine Base,3367,cis-Platin,441203,BT549,0
Fludarabine Base,3367,Retinoic acid,444795,BT549,0
Fludarabine Base,3367,NSC-127716,451668,BT549,0
Fludarabine Base,3367,Antibiotic AD 32,454216,BT549,0
Fludarabine Base,3367,Nilotinib,644241,BT549,0
Fludarabine Base,3367,6-Mercaptopurine,667490,BT549,0
Fludarabine Base,3367,Tamoxifen citrate,2733525,BT549,0
Fludarabine Base,3367,Dasatinib,3062316,BT549,0
Fludarabine Base,3367,Antibiotic AY 22989,5284616,BT549,0
Fludarabine Base,3367,Sunitinib,5329102,BT549,0
Fludarabine Base,3367,Romidepsin,5352062,BT549,0
Fludarabine Base,3367,bleomycin,5360373,BT549,1
Fludarabine Base,3367,NSC733504,6442177,BT549,0
Fludarabine Base,3367,Ixabepilone,6445540,BT549,0
Fludarabine Base,3367,Eloxatin (TN) (Sanofi Synthelab),24197464,BT549,0
